trump_flag,date,vol,vol_perc
Trump mentioned,2024-01-01,11156236.572519999,0.09298544204918217
Trump mentioned,2024-02-01,4739847.865817,0.2193680126358217
Trump mentioned,2024-03-01,473156.33549700095,0.0012429879017480392
Trump mentioned,2024-04-01,3695927.338777,0.029634981316558
Trump mentioned,2024-05-01,15298015.425613,0.11441912317470768
Trump mentioned,2024-06-01,80125642.68805902,0.44962157533745656
Trump mentioned,2024-07-01,36569929.39424901,0.11734646613841601
Trump mentioned,2024-08-01,29563294.729385007,0.03535507227560013
Trump mentioned,2024-09-01,29593197.26507899,0.05800550853125689
Trump mentioned,2024-10-01,64367296.87557599,0.1592066275067077
Trump mentioned,2024-11-01,489524809.13117194,0.3959826939105557
Trump mentioned,2024-12-01,5498429.876601001,0.07090235143967491
Trump mentioned,2025-01-01,54740227.95485899,0.6977852894308889
